Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Model_ID",DFB8465F-2081-124D-6435-D60394C3687C,84,,456FD8B5-4D57-9C58-A978-D22766AAF882,81,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Model",P,,NUMERIC,1,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"Model_Model_ID",E4E1C4FE-AA59-596C-23C2-B3E8263B9B4A,85,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Table",,F,NUMERIC,2,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"Table_ID",36005599-8AA6-A388-993C-3968E169E39C,86,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Table",P,,NUMERIC,1,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"Term_ID",EC9010D6-80A9-AC19-DFA9-D0181256361B,87,,3B9EF03C-8F0E-D5E0-471A-D26F15323E12,83,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Term",P,,NUMERIC,2,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"Term_Term_ID",DA4ACE2D-A21E-0F60-EFA9-780682C2CD3F,88,,456FD8B5-4D57-9C58-A978-D22766AAF882,81,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Model",,F,NUMERIC,2,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"Term_Term_ID",E232C090-59F0-B546-0A97-306A0832A356,89,,50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Table",,F,NUMERIC,3,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"name",5DC4422C-07D7-8DCA-9F7B-BE5BA311664A,90,,3B9EF03C-8F0E-D5E0-471A-D26F15323E12,83,N,Logical Type,,N,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,N,Y,"Term",,,VARCHAR,1,73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",,,,
"Model_ID",16EE66AB-F0D6-1F27-BE5B-BEF6C7913C2B,110,,38FF1D5D-8F88-7A43-2408-067EDD4E985A,104,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Model",P,,NUMERIC,1,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
"Model_ID",311FD17A-AB14-CC47-80F1-E45D6833270F,111,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Model_Name",P,F,NUMERIC,1,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
"Model_Model_ID",3615995D-ECBC-DEEF-7B5D-1D34AD669332,112,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Table_Name",,F,NUMERIC,2,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
"Table_ID",7FECB84A-A1C3-C66B-7A2D-EC4B1EF74F49,113,,9C277520-57DE-C2C8-23A5-25352DEB9D5E,106,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Table",P,,NUMERIC,1,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
"Table_ID",67B6D2E3-3F33-4582-73CE-6A910BF6D44C,114,,0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Table_Name",P,F,NUMERIC,1,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
"Term_ID",10260F05-F9D1-D799-A89D-1D981AA80A38,115,,AB6579B6-C6D7-7300-D635-2BB6E9208D56,108,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Term",P,,NUMERIC,1,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
"Term_Term_ID",25264668-5EDA-A3C8-245D-450C7E3D6863,116,,8B58FDA0-E96F-3946-91E4-7509AA851A02,105,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Model_Name",,F,NUMERIC,2,74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",,,,
