Logical_Model_ID,Num_Logical_Model_ID,Logical_Model_Name,Logical_Object_ID,Num_Logical_Object_ID,Logical_Object_Name,Relational_Model_ID,Num_Relational_Model_ID,Relational_Model_Name,Relational_Object_ID,Num_Relational_Object_ID,Relational_Object_Name,Entity_Name,Table_Name
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",2A56EF08-1012-448C-0FA1-21D96A08D7D0,77,"Model has Name",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",0B0E33B8-B725-61CE-B8C4-DE220CBBC549,100,"Model_Term_FK",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",2E2F178E-3105-FFE1-4CE0-D11ACF228FC7,74,"Name",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",69DA05B4-4B32-5DEA-1F21-F0792AFC2A4A,95,"Term_name_UN","Term","Term",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",338F9F90-129C-207B-EC9C-B36684F2DBB6,72,"Term",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",3B9EF03C-8F0E-D5E0-471A-D26F15323E12,83,"Term",Term,"Term",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",34301E89-9B61-3C5E-3E01-30CB859FB5E5,70,"Model",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",456FD8B5-4D57-9C58-A978-D22766AAF882,81,"Model",Model,"Model",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",572C42F7-AB33-DF7C-07E5-B3C877F30E8D,73,"name",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",5DC4422C-07D7-8DCA-9F7B-BE5BA311664A,90,"name","Term","Term",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",71235017-61C5-F149-FC9B-CE15AB3BEC8A,78,"Model has Tables",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",386E3AC1-139C-AD97-A64C-9AFC1D0F07E8,101,"Table_Model_FK",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",971B12B1-9FB7-BBB8-C002-FE2B59ED7155,76,"Name",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",99B86BAF-3116-EF27-6128-750DA06B3D1B,93,"Table__UN","Table","Table",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",9D61E4D3-0F44-B6FF-996D-A64D6E6E1F55,71,"Table",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",50CCA7D9-BEA0-265D-B9EF-BA4507C49159,82,"Table",Table,"Table",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",CC290D11-6274-17DD-F58E-EBC448D2AE54,79,"Table has Name",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",C2B2C45D-A3B2-D6E9-FA20-C80849168153,102,"Table_Term_FK",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",F5F9C51F-F0A4-7487-FE01-5CF457C325AA,75,"Name",73B42DC4-4FF2-31A9-5376-3D516C969B24,80,"ERD",E41D50E1-D982-BF18-1326-02C2453A8D9B,91,"Model__UN","Model","Model",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",2A56EF08-1012-448C-0FA1-21D96A08D7D0,77,"Model has Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",16738E1A-2814-5E9A-19C2-40325BC5C429,141,"Model_Term_FKv1",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",2E2F178E-3105-FFE1-4CE0-D11ACF228FC7,74,"Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",1854E957-A7D7-BBAC-A8A0-C4C67F35DF3C,137,"Term_name_UN","Term","Term_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",338F9F90-129C-207B-EC9C-B36684F2DBB6,72,"Term",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",544623FE-78A9-35AB-497F-78B1F40AC858,109,"Term_Name",Term,"Term_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",338F9F90-129C-207B-EC9C-B36684F2DBB6,72,"Term",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",AB6579B6-C6D7-7300-D635-2BB6E9208D56,108,"Term",Term,"Term",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",34301E89-9B61-3C5E-3E01-30CB859FB5E5,70,"Model",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",38FF1D5D-8F88-7A43-2408-067EDD4E985A,104,"Model",Model,"Model",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",34301E89-9B61-3C5E-3E01-30CB859FB5E5,70,"Model",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",8B58FDA0-E96F-3946-91E4-7509AA851A02,105,"Model_Name",Model,"Model_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",572C42F7-AB33-DF7C-07E5-B3C877F30E8D,73,"name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",98E8F0A3-A293-7542-F312-50FEA0A4EC3D,118,"name","Term","Term_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",71235017-61C5-F149-FC9B-CE15AB3BEC8A,78,"Model has Tables",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",D8AB7B2E-5A55-0F7F-CA5D-C7DAC962CFA9,142,"Table_Model_FKv1",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",971B12B1-9FB7-BBB8-C002-FE2B59ED7155,76,"Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",92CFBE27-681D-FE56-199C-04C7A3B624CE,134,"Table__UN","Table","Table_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",9D61E4D3-0F44-B6FF-996D-A64D6E6E1F55,71,"Table",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",0EB785C5-ED3E-9BBA-4D30-1BC6D6A8DD04,107,"Table_Name",Table,"Table_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",9D61E4D3-0F44-B6FF-996D-A64D6E6E1F55,71,"Table",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",9C277520-57DE-C2C8-23A5-25352DEB9D5E,106,"Table",Table,"Table",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",CC290D11-6274-17DD-F58E-EBC448D2AE54,79,"Table has Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",A49C3446-C1FB-FD29-BA45-833125425698,143,"Table_Term_FKv1",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",F5F9C51F-F0A4-7487-FE01-5CF457C325AA,75,"Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",00D16B42-3357-4E02-1254-38ED2E6A5279,129,"Model__UN","Model","Model_Name",
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",2A56EF08-1012-448C-0FA1-21D96A08D7D0,77,"Model has Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",5C9DA75C-C08C-91D7-09EA-E3D2CDFA8C2A,0,"Model_Term_FK",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",71235017-61C5-F149-FC9B-CE15AB3BEC8A,78,"Model has Tables",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",8B1D33D2-58FF-3CB2-3E65-FCC4482D893D,0,"Table_Model_FK",,,
21CD46E6-9812-9830-4376-F53EEDAFD219,69,"Logical",CC290D11-6274-17DD-F58E-EBC448D2AE54,79,"Table has Name",74E22014-C126-F08D-87D0-494E8EA64158,103,"Anchor",8A5C69A7-CD82-A313-0413-FB6BCB7A1621,0,"Table_Term_FK",,,
